F_id,Flight_number,Fare_code,Amount,Restrictions
1,20,business,591,non-refundable
2,20,business,666,refundable
3,20,coach,271,non-refundable
4,20,coach,321,refundable
5,20,first_class,924,non-refundable
6,20,first_class,1024,refundable
7,22,business,604,non-refundable
8,22,business,679,refundable
9,22,coach,374,non-refundable
10,22,coach,424,refundable
11,22,first_class,814,non-refundable
12,22,first_class,914,refundable
13,25,business,567,non-refundable
14,25,business,642,refundable
15,25,coach,384,non-refundable
16,25,coach,434,refundable
17,25,first_class,842,non-refundable
18,25,first_class,942,refundable
19,26,business,537,non-refundable
20,26,business,612,refundable
21,26,coach,374,non-refundable
22,26,coach,424,refundable
23,26,first_class,819,non-refundable
24,26,first_class,919,refundable
25,33,business,682,non-refundable
26,33,business,757,refundable
27,33,coach,298,non-refundable
28,33,coach,348,refundable
29,33,first_class,910,non-refundable
30,33,first_class,1010,refundable
31,35,business,688,non-refundable
32,35,business,763,refundable
33,35,coach,256,non-refundable
34,35,coach,306,refundable
35,35,first_class,992,non-refundable
36,35,first_class,1092,refundable
37,39,business,500,non-refundable
38,39,business,575,refundable
39,39,coach,388,non-refundable
40,39,coach,438,refundable
41,39,first_class,973,non-refundable
42,39,first_class,1073,refundable
43,40,business,540,non-refundable
44,40,business,615,refundable
45,40,coach,206,non-refundable
46,40,coach,256,refundable
47,40,first_class,867,non-refundable
48,40,first_class,967,refundable
49,42,business,620,non-refundable
50,42,business,695,refundable
51,42,coach,249,non-refundable
52,42,coach,299,refundable
53,42,first_class,965,non-refundable
54,42,first_class,1065,refundable
55,47,business,516,non-refundable
56,47,business,591,refundable
57,47,coach,236,non-refundable
58,47,coach,286,refundable
59,47,first_class,888,non-refundable
60,47,first_class,988,refundable
61,48,business,645,non-refundable
62,48,business,720,refundable
63,48,coach,367,non-refundable
64,48,coach,417,refundable
65,48,first_class,832,non-refundable
66,48,first_class,932,refundable
67,50,business,639,non-refundable
68,50,business,714,refundable
69,50,coach,271,non-refundable
70,50,coach,321,refundable
71,50,first_class,858,non-refundable
72,50,first_class,958,refundable
73,53,business,571,non-refundable
74,53,business,646,refundable
75,53,coach,224,non-refundable
76,53,coach,274,refundable
77,53,first_class,905,non-refundable
78,53,first_class,1005,refundable
79,58,business,682,non-refundable
80,58,business,757,refundable
81,58,coach,246,non-refundable
82,58,coach,296,refundable
83,58,first_class,901,non-refundable
84,58,first_class,1001,refundable
85,59,business,602,non-refundable
86,59,business,677,refundable
87,59,coach,335,non-refundable
88,59,coach,385,refundable
89,59,first_class,944,non-refundable
90,59,first_class,1044,refundable
